epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.04070553928613663,0.07693229615688324,0.052075547526598126,0.5489138965553324,0.01612306190715691,0.3919846859902805
2,0.03028714656829834,0.0193364005535841,0.09359202408489604,0.6898733569238966,0.04527227021078513,0.6312515490950058
3,0.019002050161361694,0.015766944736242294,0.16929395753280782,0.823179375766327,0.1459245812409843,0.7553851186588242
4,0.01321225706487894,0.02649545855820179,0.21938419382440713,0.8718633414842999,0.18793955678286875,0.782222561035009
5,0.014391234144568443,0.012125715613365173,0.25367816816758043,0.8950271838301899,0.20542544652904102,0.7872810519844579
6,0.02455703355371952,0.009425543248653412,0.2862610990040581,0.9037541193035408,0.2710311439188415,0.8079485787155092
7,0.011411452665925026,0.0064161354675889015,0.29867779346738954,0.9105822433006381,0.26593882605959246,0.8100053566622061
8,0.010143362917006016,0.008125603199005127,0.31137825456227775,0.9175255224423173,0.3025078876470045,0.7985639638245152
9,0.021261021494865417,0.008496761322021484,0.32808568777281827,0.9184226926702643,0.3033295126436852,0.8170647899556848
10,0.009730890393257141,0.0113377058878541,0.3359084560908064,0.9234454860007792,0.22334706704489396,0.7990549275619988
11,0.012534688226878643,0.007165266666561365,0.3431664821094035,0.9259577754602338,0.31506360048510257,0.820620317126422
12,0.012870047241449356,0.015411236323416233,0.35590943341781434,0.9280776960585763,0.2911189266114402,0.7904359840709402
13,0.017599640414118767,0.007977915927767754,0.36396311589630387,0.9277641804061584,0.31945870177447483,0.8231459139043709
14,0.013701413758099079,0.011882602237164974,0.3726423564801491,0.9326484564786215,0.31150382820637773,0.7945107217871422
15,0.009051958099007607,0.020814120769500732,0.37590206890898353,0.9326375479636456,0.314624815263694,0.8101606620064868
16,0.013283204287290573,0.007289723958820105,0.3797209470576374,0.9342175881464655,0.3241729618157378,0.8019346620530536
17,0.02158357761800289,0.015175179578363895,0.38029788779312285,0.933770110929805,0.3307504695981063,0.7942905698382479
18,0.00876650307327509,0.009212154895067215,0.37849797333010016,0.9342092164363742,0.30967560841883773,0.817165455296075
19,0.010467940010130405,0.00784376822412014,0.39080567269520605,0.9339708285377136,0.3173109176850216,0.8064523905848133
20,0.007819277234375477,0.007110782898962498,0.3982392633628511,0.938991089419867,0.34935060205541696,0.8313922996719617
21,0.020993025973439217,0.00665464298799634,0.40272839200206456,0.9378703812943644,0.3546109507018425,0.8233940278688048
22,0.00902589038014412,0.007388082332909107,0.40069192143905064,0.9394366670916479,0.3384685244146982,0.8109966260162446
23,0.009380476549267769,0.008107990957796574,0.4066147837725776,0.940919790421669,0.35126424886732904,0.810008019634452
24,0.010922498069703579,0.02304346114397049,0.4070924003107061,0.9407931347672678,0.34853234653496096,0.8332739710092285
25,0.028897782787680626,0.00608266843482852,0.40442563373275947,0.9390540262224314,0.34683844653821044,0.8380320819707396
